trip_id,year,month,season,origin_country,destination_country,travel_purpose,traveler_type,num_travelers,duration_nights
TRP0000093,2021,8,Summer (Jun-Aug),Turkey,Canada,Business,Family,4,3
TRP0000094,2021,8,Winter (Dec-Feb),Pakistan,Australia,Business,Family,3,5
TRP0000095,2021,9,Summer (Jun-Aug),Italy,Egypt,Business,Family,5,4
TRP0000096,2022,4,Summer (Jun-Aug),Italy,Malaysia,Leisure/Tourism,Solo,1,4
TRP0000097,2024,7,Summer (Jun-Aug),Australia,Italy,Family Visit,Solo,1,15
TRP0000098,2022,4,Summer (Jun-Aug),France,Switzerland,Family Visit,Family,4,10
TRP0000099,2023,10,Summer (Jun-Aug),Turkey,Singapore,Adventure/Sports,Family,6,8
TRP0000100,2024,5,Autumn (Sep-Nov),Netherlands,Malaysia,Business,Solo,1,5
TRP0000101,2019,1,Summer (Jun-Aug),France,Indonesia,Business,Couple,1,5
TRP0000102,2022,10,Spring (Mar-May),Mexico,Singapore,Leisure/Tourism,Backpacker,2,6
TRP0000103,2022,3,Autumn (Sep-Nov),USA,Australia,Religious/Pilgrimage,Group Tour,26,20
TRP0000104,2023,4,Autumn (Sep-Nov),Spain,Morocco,Religious/Pilgrimage,Family,6,17
TRP0000105,2024,10,Summer (Jun-Aug),Brazil,Singapore,Leisure/Tourism,Business Traveler,1,5
TRP0000106,2023,7,Winter (Dec-Feb),Italy,Japan,Family Visit,Business Traveler,1,6
TRP0000107,2024,7,Summer (Jun-Aug),Mexico,Maldives,Adventure/Sports,Backpacker,1,14
TRP0000108,2023,1,Spring (Mar-May),Netherlands,Greece,Leisure/Tourism,Solo,1,16
TRP0000109,2020,12,Autumn (Sep-Nov),Netherlands,Egypt,Honeymoon,Couple,2,16
TRP0000110,2020,9,Summer (Jun-Aug),Saudi Arabia,Turkey,Religious/Pilgrimage,Business Traveler,1,15
TRP0000111,2024,9,Spring (Mar-May),Mexico,Australia,Leisure/Tourism,Family,6,17
TRP0000112,2024,9,Autumn (Sep-Nov),Canada,Egypt,Leisure/Tourism,Group Tour,18,17
TRP0000113,2024,12,Autumn (Sep-Nov),India,Spain,Adventure/Sports,Family,3,9
TRP0000114,2022,3,Spring (Mar-May),India,Italy,Leisure/Tourism,Solo,1,4
TRP0000115,2024,4,Summer (Jun-Aug),Germany,Greece,Business,Family,6,4
TRP0000116,2024,1,Autumn (Sep-Nov),Pakistan,Canada,Cultural Exchange,Family,4,10
TRP0000117,2019,3,Winter (Dec-Feb),France,Canada,Leisure/Tourism,Group Tour,16,10
TRP0000118,2023,8,Summer (Jun-Aug),Japan,Maldives,Medical Tourism,Group Tour,13,25
TRP0000119,2021,11,Summer (Jun-Aug),Japan,Switzerland,Family Visit,Family,4,16
TRP0000120,2021,10,Autumn (Sep-Nov),China,Greece,Family Visit,Backpacker,1,11
TRP0000121,2022,12,Summer (Jun-Aug),Mexico,Canada,Adventure/Sports,Business Traveler,1,4
TRP0000122,2022,6,Winter (Dec-Feb),Brazil,Malaysia,Medical Tourism,Couple,2,9
TRP0000123,2019,5,Winter (Dec-Feb),Saudi Arabia,USA,Family Visit,Couple,2,7
TRP0000124,2022,3,Summer (Jun-Aug),India,Italy,Leisure/Tourism,Couple,1,6
TRP0000125,2023,3,Spring (Mar-May),Turkey,UK,Family Visit,Solo,1,12
TRP0000126,2020,9,Autumn (Sep-Nov),USA,Japan,Business,Family,6,3
TRP0000127,2019,11,Summer (Jun-Aug),Pakistan,Morocco,Religious/Pilgrimage,Group Tour,28,13
TRP0000128,2024,2,Spring (Mar-May),Germany,USA,Education,Backpacker,1,75
TRP0000129,2021,7,Summer (Jun-Aug),Russia,UK,Leisure/Tourism,Solo,1,15
TRP0000130,2019,1,Winter (Dec-Feb),India,Japan,Religious/Pilgrimage,Couple,2,8
TRP0000131,2019,10,Autumn (Sep-Nov),Brazil,Japan,Education,Backpacker,1,108
TRP0000132,2024,1,Spring (Mar-May),France,Spain,Digital Nomad,Business Traveler,1,62
TRP0000133,2023,5,Summer (Jun-Aug),Netherlands,Malaysia,Religious/Pilgrimage,Family,3,13
TRP0000134,2023,5,Autumn (Sep-Nov),Japan,Italy,Business,Business Traveler,1,4
TRP0000135,2024,11,Autumn (Sep-Nov),Japan,Morocco,Business,Group Tour,25,5
TRP0000136,2023,5,Winter (Dec-Feb),Germany,Greece,Family Visit,Solo,1,4
TRP0000137,2024,1,Winter (Dec-Feb),UK,Greece,Business,Solo,1,2
TRP0000138,2019,3,Autumn (Sep-Nov),Japan,Italy,Religious/Pilgrimage,Couple,1,9
TRP0000139,2024,11,Winter (Dec-Feb),Japan,Malaysia,Religious/Pilgrimage,Business Traveler,1,13
TRP0000140,2024,10,Spring (Mar-May),UK,New Zealand,Cultural Exchange,Group Tour,25,3
TRP0000141,2024,6,Autumn (Sep-Nov),UK,Egypt,Leisure/Tourism,Couple,2,19
TRP0000142,2024,10,Summer (Jun-Aug),India,France,Religious/Pilgrimage,Couple,1,11
TRP0000143,2024,4,Autumn (Sep-Nov),India,UK,Leisure/Tourism,Group Tour,8,9
TRP0000144,2024,5,Spring (Mar-May),Russia,Morocco,Religious/Pilgrimage,Solo,1,15
TRP0000145,2022,8,Winter (Dec-Feb),Turkey,Maldives,Religious/Pilgrimage,Solo,1,10
TRP0000146,2019,11,Winter (Dec-Feb),Italy,USA,Adventure/Sports,Family,3,11
TRP0000147,2022,6,Autumn (Sep-Nov),Japan,Egypt,Family Visit,Business Traveler,1,10
TRP0000148,2022,11,Summer (Jun-Aug),UAE,Morocco,Leisure/Tourism,Family,5,13
TRP0000149,2023,1,Summer (Jun-Aug),Russia,France,Family Visit,Couple,1,15
TRP0000150,2023,2,Winter (Dec-Feb),Canada,Switzerland,Business,Group Tour,9,3
TRP0000151,2022,10,Summer (Jun-Aug),UK,Spain,Business,Solo,1,3
TRP0000152,2019,3,Winter (Dec-Feb),India,Spain,Leisure/Tourism,Group Tour,21,3
TRP0000153,2022,11,Spring (Mar-May),Russia,USA,Medical Tourism,Business Traveler,1,14
TRP0000154,2020,8,Autumn (Sep-Nov),India,Maldives,Leisure/Tourism,Solo,1,11
TRP0000155,2020,4,Spring (Mar-May),Netherlands,New Zealand,Leisure/Tourism,Couple,1,7
TRP0000156,2022,6,Spring (Mar-May),Spain,Spain,Religious/Pilgrimage,Couple,1,7
TRP0000157,2024,2,Autumn (Sep-Nov),Pakistan,Thailand,Adventure/Sports,Solo,1,8
TRP0000158,2024,2,Summer (Jun-Aug),USA,Japan,Leisure/Tourism,Business Traveler,1,11
TRP0000159,2024,8,Winter (Dec-Feb),UK,Egypt,Adventure/Sports,Business Traveler,1,6
TRP0000160,2022,7,Spring (Mar-May),Brazil,Spain,Business,Backpacker,1,2
TRP0000161,2024,12,Summer (Jun-Aug),Italy,UAE,Leisure/Tourism,Solo,1,7
TRP0000162,2020,1,Summer (Jun-Aug),Turkey,France,Adventure/Sports,Business Traveler,1,20
TRP0000163,2020,7,Spring (Mar-May),Germany,Indonesia,Adventure/Sports,Family,6,10
TRP0000164,2023,3,Spring (Mar-May),Netherlands,Canada,Business,Solo,1,3
TRP0000165,2023,4,Summer (Jun-Aug),Japan,Japan,Medical Tourism,Solo,1,16
TRP0000166,2023,9,Winter (Dec-Feb),Italy,Morocco,Education,Couple,1,56
TRP0000167,2020,11,Autumn (Sep-Nov),USA,Singapore,Religious/Pilgrimage,Group Tour,21,20
TRP0000168,2024,1,Autumn (Sep-Nov),Spain,Maldives,Adventure/Sports,Group Tour,15,14
TRP0000169,2023,5,Spring (Mar-May),Brazil,Malaysia,Adventure/Sports,Family,6,7
TRP0000170,2023,1,Autumn (Sep-Nov),Russia,France,Leisure/Tourism,Business Traveler,1,19
TRP0000171,2023,9,Spring (Mar-May),Spain,UK,Leisure/Tourism,Group Tour,21,19
TRP0000172,2022,1,Winter (Dec-Feb),Australia,UAE,Leisure/Tourism,Family,4,5
TRP0000173,2023,10,Spring (Mar-May),France,Spain,Leisure/Tourism,Group Tour,20,5
TRP0000174,2021,7,Winter (Dec-Feb),Mexico,UAE,Education,Family,6,173
TRP0000175,2023,6,Spring (Mar-May),Mexico,New Zealand,Cultural Exchange,Group Tour,26,14
TRP0000176,2019,4,Winter (Dec-Feb),Canada,Spain,Business,Backpacker,2,3
TRP0000177,2019,3,Spring (Mar-May),Canada,Spain,Business,Family,3,2
TRP0000178,2020,11,Winter (Dec-Feb),Brazil,UK,Medical Tourism,Family,4,25
TRP0000179,2024,12,Winter (Dec-Feb),Turkey,Japan,Cultural Exchange,Solo,1,18
TRP0000180,2024,1,Autumn (Sep-Nov),India,New Zealand,Education,Family,3,90
TRP0000181,2022,3,Summer (Jun-Aug),Mexico,Australia,Leisure/Tourism,Business Traveler,1,6
TRP0000182,2024,12,Autumn (Sep-Nov),Italy,Italy,Adventure/Sports,Group Tour,11,16
TRP0000183,2024,12,Winter (Dec-Feb),Turkey,France,Digital Nomad,Family,5,35
TRP0000184,2022,12,Winter (Dec-Feb),Saudi Arabia,Indonesia,Honeymoon,Solo,1,19
TRP0000185,2024,5,Winter (Dec-Feb),UAE,USA,Business,Solo,1,5
TRP0000186,2020,11,Winter (Dec-Feb),Canada,Singapore,Leisure/Tourism,Business Traveler,1,3
TRP0000187,2019,2,Spring (Mar-May),Brazil,Spain,Business,Backpacker,1,4
TRP0000188,2024,8,Spring (Mar-May),Russia,Maldives,Leisure/Tourism,Couple,1,16
TRP0000189,2022,5,Winter (Dec-Feb),UAE,France,Leisure/Tourism,Family,3,15
TRP0000190,2024,3,Summer (Jun-Aug),France,Thailand,Business,Business Traveler,1,3
TRP0000191,2019,6,Summer (Jun-Aug),Brazil,Thailand,Family Visit,Group Tour,11,8
TRP0000192,2021,9,Spring (Mar-May),Japan,France,Religious/Pilgrimage,Group Tour,9,17
TRP0000193,2022,8,Winter (Dec-Feb),Australia,Morocco,Business,Group Tour,17,6
TRP0000194,2024,1,Winter (Dec-Feb),Spain,Malaysia,Cultural Exchange,Group Tour,29,19
TRP0000195,2020,1,Autumn (Sep-Nov),Mexico,UAE,Leisure/Tourism,Couple,1,7
TRP0000196,2024,9,Spring (Mar-May),Brazil,Singapore,Leisure/Tourism,Backpacker,1,19
TRP0000197,2024,3,Summer (Jun-Aug),Germany,Australia,Leisure/Tourism,Business Traveler,1,18
TRP0000198,2023,1,Winter (Dec-Feb),Russia,Turkey,Education,Solo,1,146
TRP0000199,2023,4,Winter (Dec-Feb),Pakistan,Indonesia,Family Visit,Couple,1,7
TRP0000200,2023,2,Summer (Jun-Aug),Italy,USA,Business,Couple,2,5
TRP0000201,2024,11,Autumn (Sep-Nov),Mexico,Indonesia,Honeymoon,Business Traveler,1,19
TRP0000202,2022,6,Summer (Jun-Aug),Italy,France,Cultural Exchange,Family,4,14
TRP0000203,2023,11,Summer (Jun-Aug),Russia,Canada,Business,Couple,1,3
TRP0000204,2022,9,Summer (Jun-Aug),Brazil,Spain,Family Visit,Backpacker,1,18
TRP0000205,2024,4,Summer (Jun-Aug),Mexico,Japan,Family Visit,Family,6,16
TRP0000206,2023,6,Winter (Dec-Feb),Canada,Canada,Business,Business Traveler,1,4
TRP0000207,2023,12,Winter (Dec-Feb),France,Japan,Leisure/Tourism,Couple,1,6
TRP0000208,2022,11,Spring (Mar-May),China,UK,Leisure/Tourism,Family,5,3
TRP0000209,2020,5,Spring (Mar-May),France,Canada,Leisure/Tourism,Family,5,7
TRP0000210,2023,2,Summer (Jun-Aug),UAE,Spain,Business,Family,4,3
TRP0000211,2022,3,Winter (Dec-Feb),China,France,Leisure/Tourism,Family,4,3
TRP0000212,2022,3,Summer (Jun-Aug),Netherlands,New Zealand,Business,Group Tour,20,2
TRP0000213,2024,10,Summer (Jun-Aug),Australia,UAE,Business,Business Traveler,1,6
TRP0000214,2019,5,Spring (Mar-May),UAE,Singapore,Business,Family,3,3
TRP0000215,2023,8,Winter (Dec-Feb),Mexico,UAE,Adventure/Sports,Family,5,15
TRP0000216,2024,3,Spring (Mar-May),India,UAE,Medical Tourism,Backpacker,2,16
TRP0000217,2021,2,Spring (Mar-May),Mexico,Morocco,Medical Tourism,Backpacker,2,13
TRP0000218,2023,10,Autumn (Sep-Nov),Saudi Arabia,Thailand,Religious/Pilgrimage,Group Tour,11,15
TRP0000219,2019,8,Summer (Jun-Aug),Italy,Malaysia,Education,Backpacker,2,136
TRP0000220,2023,6,Summer (Jun-Aug),UK,Morocco,Business,Family,3,4
TRP0000221,2023,6,Spring (Mar-May),South Korea,Japan,Leisure/Tourism,Solo,1,20
TRP0000222,2023,11,Spring (Mar-May),Turkey,Singapore,Education,Family,3,62
TRP0000223,2023,12,Autumn (Sep-Nov),UK,Japan,Leisure/Tourism,Couple,1,16
TRP0000224,2024,9,Winter (Dec-Feb),India,Switzerland,Leisure/Tourism,Family,6,5
TRP0000225,2024,2,Autumn (Sep-Nov),UAE,Indonesia,Business,Couple,1,5
TRP0000226,2024,7,Autumn (Sep-Nov),Mexico,Canada,Leisure/Tourism,Family,6,3
TRP0000227,2022,2,Winter (Dec-Feb),France,Greece,Adventure/Sports,Family,3,14
TRP0000228,2023,9,Summer (Jun-Aug),India,Italy,Leisure/Tourism,Solo,1,13
TRP0000229,2023,9,Summer (Jun-Aug),Russia,Spain,Business,Family,5,3
TRP0000230,2022,9,Winter (Dec-Feb),India,Maldives,Religious/Pilgrimage,Group Tour,18,19
TRP0000231,2022,11,Spring (Mar-May),Spain,USA,Business,Group Tour,15,3
TRP0000232,2023,12,Summer (Jun-Aug),Brazil,Japan,Honeymoon,Solo,1,11
TRP0000233,2024,5,Summer (Jun-Aug),Brazil,France,Leisure/Tourism,Couple,1,18
TRP0000234,2024,6,Winter (Dec-Feb),Germany,UK,Leisure/Tourism,Backpacker,2,18
TRP0000235,2024,11,Spring (Mar-May),Germany,Morocco,Leisure/Tourism,Business Traveler,1,15
TRP0000236,2022,5,Spring (Mar-May),Mexico,Singapore,Business,Couple,2,3
TRP0000237,2024,5,Autumn (Sep-Nov),USA,USA,Medical Tourism,Family,5,21
TRP0000238,2019,10,Summer (Jun-Aug),Russia,Thailand,Leisure/Tourism,Group Tour,20,12
TRP0000239,2020,6,Winter (Dec-Feb),Spain,Greece,Medical Tourism,Group Tour,14,29
TRP0000240,2021,7,Autumn (Sep-Nov),Pakistan,Malaysia,Religious/Pilgrimage,Family,5,8
TRP0000241,2024,11,Winter (Dec-Feb),UK,Greece,Religious/Pilgrimage,Business Traveler,1,19
TRP0000242,2021,12,Summer (Jun-Aug),Germany,Indonesia,Honeymoon,Couple,2,15
TRP0000243,2021,3,Winter (Dec-Feb),Italy,Thailand,Leisure/Tourism,Solo,1,5
TRP0000244,2019,4,Summer (Jun-Aug),USA,New Zealand,Religious/Pilgrimage,Backpacker,1,5
TRP0000245,2019,2,Summer (Jun-Aug),Italy,UK,Adventure/Sports,Solo,1,8
TRP0000246,2023,11,Spring (Mar-May),Turkey,Canada,Honeymoon,Solo,1,11
TRP0000247,2022,7,Autumn (Sep-Nov),USA,UAE,Leisure/Tourism,Family,6,3
TRP0000248,2024,2,Winter (Dec-Feb),UAE,Canada,Leisure/Tourism,Couple,1,8
TRP0000249,2023,4,Winter (Dec-Feb),Mexico,Australia,Adventure/Sports,Business Traveler,1,14
TRP0000250,2023,12,Spring (Mar-May),India,Japan,Religious/Pilgrimage,Family,4,18
TRP0000251,2022,8,Autumn (Sep-Nov),Japan,Switzerland,Leisure/Tourism,Group Tour,12,18
TRP0000252,2020,5,Spring (Mar-May),Italy,Maldives,Family Visit,Family,3,5
TRP0000253,2024,6,Winter (Dec-Feb),Brazil,UK,Religious/Pilgrimage,Solo,1,17
TRP0000254,2023,7,Spring (Mar-May),South Korea,Spain,Education,Couple,2,167
TRP0000255,2019,9,Spring (Mar-May),Mexico,Australia,Adventure/Sports,Business Traveler,1,19
TRP0000256,2023,2,Summer (Jun-Aug),Australia,Indonesia,Education,Couple,2,96
TRP0000257,2023,6,Autumn (Sep-Nov),Spain,Spain,Business,Group Tour,8,6
TRP0000258,2023,1,Winter (Dec-Feb),Netherlands,Maldives,Leisure/Tourism,Business Traveler,1,8
TRP0000259,2021,10,Summer (Jun-Aug),China,Malaysia,Business,Solo,1,2
TRP0000260,2023,10,Spring (Mar-May),Netherlands,Canada,Education,Solo,1,124
TRP0000261,2022,7,Winter (Dec-Feb),Germany,UAE,Leisure/Tourism,Family,6,19
TRP0000262,2024,4,Winter (Dec-Feb),UK,Japan,Leisure/Tourism,Family,5,11
TRP0000263,2022,9,Summer (Jun-Aug),Spain,Canada,Leisure/Tourism,Solo,1,16
TRP0000264,2019,6,Spring (Mar-May),UK,New Zealand,Business,Group Tour,12,2
TRP0000265,2023,2,Summer (Jun-Aug),Saudi Arabia,USA,Cultural Exchange,Group Tour,27,7
TRP0000266,2022,9,Summer (Jun-Aug),Russia,Indonesia,Adventure/Sports,Business Traveler,1,18
TRP0000267,2020,6,Summer (Jun-Aug),Brazil,Spain,Leisure/Tourism,Family,4,12
TRP0000268,2022,5,Spring (Mar-May),Japan,Singapore,Business,Solo,1,2
TRP0000269,2019,5,Summer (Jun-Aug),Saudi Arabia,Australia,Religious/Pilgrimage,Family,3,11
TRP0000270,2022,11,Summer (Jun-Aug),Turkey,Indonesia,Leisure/Tourism,Family,6,9
TRP0000271,2020,8,Autumn (Sep-Nov),India,Japan,Honeymoon,Family,3,13
TRP0000272,2023,11,Spring (Mar-May),Brazil,Indonesia,Leisure/Tourism,Family,5,20
TRP0000273,2023,5,Autumn (Sep-Nov),Russia,UK,Business,Family,4,4
TRP0000274,2024,3,Summer (Jun-Aug),China,Spain,Honeymoon,Couple,2,8
TRP0000275,2024,4,Autumn (Sep-Nov),France,USA,Family Visit,Solo,1,12
TRP0000276,2022,12,Summer (Jun-Aug),China,Switzerland,Leisure/Tourism,Group Tour,15,15
TRP0000277,2024,9,Summer (Jun-Aug),India,Egypt,Honeymoon,Backpacker,2,7
TRP0000278,2023,8,Autumn (Sep-Nov),China,Australia,Family Visit,Group Tour,8,16
TRP0000279,2019,10,Spring (Mar-May),China,France,Honeymoon,Group Tour,8,18
TRP0000280,2024,12,Spring (Mar-May),Germany,Switzerland,Adventure/Sports,Solo,1,6
TRP0000281,2023,10,Summer (Jun-Aug),UAE,Indonesia,Business,Couple,2,3
TRP0000282,2023,5,Winter (Dec-Feb),Brazil,Singapore,Leisure/Tourism,Couple,1,14
TRP0000283,2024,1,Autumn (Sep-Nov),UAE,UK,Leisure/Tourism,Family,6,14
TRP0000284,2024,2,Winter (Dec-Feb),UK,Egypt,Business,Group Tour,26,3
TRP0000285,2019,12,Spring (Mar-May),UAE,New Zealand,Leisure/Tourism,Solo,1,9
TRP0000286,2019,7,Winter (Dec-Feb),Japan,France,Leisure/Tourism,Business Traveler,1,15
